xAccl,yAccl,zAccl,newPosition,time,pcTime
326,-28,959,0,21101100,21196.095943450928
327,-53,949,0,21126107,21221.094846725464
250,-9,986,0,21151111,21246.071815490723
218,-23,982,0,21176118,21271.07882499695
202,-4,1027,0,21201123,21296.036958694458
120,-8,1013,0,21226130,21321.086883544922
76,-16,988,0,21251136,21346.009969711304
-31,8,989,0,21276141,21371.062755584717
14,-13,1000,0,21301144,21396.08407020569
-174,31,1000,0,21326152,21421.061992645264
-155,29,1010,0,21351152,21446.08187675476
-233,34,1003,0,21376158,21471.096754074097
-255,34,984,0,21401166,21496.02699279785
-281,38,981,0,21426170,21521.03304862976
-309,17,965,0,21451174,21546.077013015747
-322,47,976,0,21476180,21571.01297
-358,27,948,0,21501185,21596.09079360962
-352,34,959,0,21526188,21621.084928512573
